gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1238747914	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11257301	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Kolla, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.29467	9.51846	0.0	0.0			2013-10-13T00:00Z	13	10	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11257301					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238748107	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11257731	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.30118	9.59953	0.0	0.0			2013-06-07T00:00Z	7	6	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11257731					Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238748172	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11257593	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Styggdalen, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.34183	9.40126	0.0	0.0			2013-09-13T00:00Z	13	9	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11257593					Håvard Rønning			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238748264	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11257815	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.38011	9.59659	0.0	0.0			2013-06-25T00:00Z	25	6	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11257815					Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238748572	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11257808	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.37332	9.61654	0.0	0.0			2013-05-14T00:00Z	14	5	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11257808					Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238748584	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11257764	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.3385	9.60663	0.0	0.0			2013-05-11T00:00Z	11	5	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11257764					Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238749586	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11256920	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Nebbekken, Sunndal, Mr	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.49591	8.97677	0.0	0.0			2013-09-08T00:00Z	8	9	2013	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11256920					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238749631	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11259330	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Vesle Nystuguhø SØende, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.3173	9.53229	0.0	0.0			2014-03-12T00:00Z	12	3	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11259330					Tord Bretten			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238750569	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11264183	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Oppdal, St	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.3757	9.63888	0.0	0.0			2014-06-26T00:00Z	26	6	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11264183					Tord Bretten, Ingolf Røtvei			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1238750905	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO2-Vertebrates:11264144	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	, Dovre, Op	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.26529	9.47186	0.0	0.0			2014-06-26T00:00Z	26	6	2014	2441108	2441108	HUMAN_OBSERVATION	NZF	SO2-Vertebrates	11264144					Tord Bretten, Tommy Sønsterud			2016-02-11T20:02Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
